channel_id,channel_name,total_subscribers,total_views,total_videos
UCn4rEMqKtwBQ6-oEwbd4PcA,Sony Music South,21700000.0,22587885204.0,6270.0
UC4B6dDVB0Umrh5l4UgxUtyg,MY FAMILY,19800000.0,7977754309.0,471.0
UCL3IoeeHKzWMxZxhmnmETjw,,,,
UCU_AsfgtKjwR4qaSwgsWn-w,infobells,14400000.0,5854711399.0,768.0
UC0zXnLIFedO97pFsyMxZcFg,The MriDul,20000000.0,6924877254.0,441.0
UCpCWa9f5_J3PqY-_Lg-_QfQ,MyMissAnand,13800000.0,5684418978.0,548.0
UCuN4A3GCUq5-0wJDSiJoxRQ,Anaysa,13500000.0,3845069891.0,724.0
UCgoxyzvouZM-tCgsYzrYtyg,NishaMadhulika,15200000.0,3689514498.0,2583.0
UCnoqvTW4YZExfDeq7_Wmd-w,ETV Jabardasth,15700000.0,18189995441.0,17791.0
UCx6F-rETGiz7xf_vkMmX2yQ,Mythpat,17500000.0,4460442978.0,437.0
UCuApqv2tNQ73S7gcfrfCSDw,Desi Gamers,17700000.0,2993875282.0,1549.0
UCeMsqI6jU9WE2ctsrbxbywQ,Zee Bangla,21800000.0,18714142018.0,199593.0
UCJeeXUtsKBj89Ra1nszP4JQ,,,,
UCTbNOCtAGaqOEnLMeo3JTeg,CookingShooking Hindi,13500000.0,2045163241.0,447.0
UC3PYGKK29qJ0zu-eEthHK4g,Zee Telugu,18000000.0,16527233529.0,226682.0
UC9dyrsYEmD4iGJ8Oz1G5dpw,Dear Sir,22700000.0,2478051169.0,1628.0
UCpN-WGQgGsOrXm7nHXDdTDA,T-Series Hamaar Bhojpuri,24400000.0,14847055818.0,12112.0
UCPMqs8vxEwbie26nFA3ykAw,Health Time,12300000.0,1024696566.0,1724.0
