#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_id,channel_name,total_subscribers,total_views,total_videos
55,etvteluguindia @UCSs9H1cyB3OHdy8wkit8ZKg,17.8M,-,India,Celebrity Business and Finance Education Television,5.3M,UCSs9H1cyB3OHdy8wkit8ZKg,etvteluguindia,23600000,33280867091,189319
56,Sun TV @UCBnxEdpoZwstJqC1yZpOjRA,17.6M,-,India,,5.3M,UCBnxEdpoZwstJqC1yZpOjRA,Sun TV,32800000,46568464509,188232
57,Triggered Insaan @UCfLuT3JwLx8rvHjHfTymekw,17.5M,-,India,Books,5.3M,UCfLuT3JwLx8rvHjHfTymekw,Triggered Insaan,26800000,5296123598,372
58,Dangal TV Channel @UCNzmmbXIbMzlqE8nD1PBXfg,17.3M,-,India,,5.2M,UCNzmmbXIbMzlqE8nD1PBXfg,Dangal TV Channel,65800000,71363647926,54307
59,Stubborn Facts @UCJZ5gFXzSZ9i-R1HEnS8U_A,17.3M,-,India,Celebrity,5.2M,UCJZ5gFXzSZ9i-R1HEnS8U_A,Stubborn Facts,16800000,923781588,316
60,Sidhu Moose Wala @UC9ChdqQRCaZmTCwSJ49tcbw,17.1M,5.9%,India,,5.1M,UC9ChdqQRCaZmTCwSJ49tcbw,Sidhu Moose Wala,31300000,10708691154,126
61,Village Cooking Channel @UCk3JZr7eS3pg5AGEvBdEvFg,17.1M,1%,India,,5.1M,UCk3JZr7eS3pg5AGEvBdEvFg,Village Cooking Channel,30900000,10150578094,282
62,Busy Fun Ltd @UCkKDpnzIG29MA--Sh6oOtWg,16.9M,-,India,,5.1M,UCkKDpnzIG29MA--Sh6oOtWg,Busy Fun Ltd,28700000,12793555713,371
63,Kiddiestv Hindi - Nursery Rhymes & Kids Songs @UCvEAgG7WzPZnZkf9iOV_YCg,16.7M,-,India,,5M,UCvEAgG7WzPZnZkf9iOV_YCg,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,26200000,10366652239,458
64,Wow Kidz Action @UCCyKsYaRi62axS-kasXW7wA,16.6M,-,India,,5M,UCCyKsYaRi62axS-kasXW7wA,Wow Kidz Action,27100000,13529195474,9517
65,Prajapati News @UCl_Ksy6Yi1b4eEZ46FInb_w,16.1M,-,India,,4.8M,UCl_Ksy6Yi1b4eEZ46FInb_w,Prajapati News,17600000,1169621800,2362
66,Zappy Toons - Hindi Nursery Rhymes and Stories @UCcryiZdagSR9M-Oii_Y4OfQ,15.9M,-,India,,4.8M,UCcryiZdagSR9M-Oii_Y4OfQ,ZappyToons - Hindi Nursery Rhymes and Stories,33500000,25563748768,1026
67,Aayu and Pihu Show @UCFcBAGR0drI3F15EhMFjuTg,15.8M,0.4%,India,Celebrity,4.7M,UCFcBAGR0drI3F15EhMFjuTg,Aayu and Pihu Show,20800000,14902649561,894
68,RKD Studios @UCjBwQ6M9QyCgO5Pp-TQRFUA,15.7M,-,India,Video Gaming,4.7M,UCjBwQ6M9QyCgO5Pp-TQRFUA,RKD Studios,27700000,7972930885,1425
69,And TV @UCxJcrDUc8awRSLzLbnIiAmQ,15.7M,-,India,,4.7M,UCxJcrDUc8awRSLzLbnIiAmQ,And TV,25700000,24980383948,53646
70,SriBalajiMovies @UCoy3dQzEdq1y2zMnT4pdj3Q,15.5M,-,India,,4.7M,UCoy3dQzEdq1y2zMnT4pdj3Q,SriBalajiMovies,23200000,14408058211,36879
71,Taarak Mehta Ka Ooltah Chashmah @UCnSFZ-olBoLGLRUS_3RI2Aw,15.2M,-,India,,4.6M,UCnSFZ-olBoLGLRUS_3RI2Aw,Taarak Mehta Ka Ooltah Chashmah,37700000,53326570604,29715
72,NDTV India @UC9CYT9gSNLevX5ey2_6CK0Q,15.1M,-,India,,4.5M,UC9CYT9gSNLevX5ey2_6CK0Q,NDTV India,26600000,32482919276,361516
73,Volga Video @UCIeNlITYK46VkR7yIuTL8GQ,15M,-,India,,4.5M,UCIeNlITYK46VkR7yIuTL8GQ,Volga Video,18000000,7898437685,4628
74,Harsh Beniwal @UCVmEbEQUGXHVm-O9pqa3JWg,15M,10.3%,India,,4.5M,UCVmEbEQUGXHVm-O9pqa3JWg,Harsh Beniwal,16600000,2612141972,224
75,Fun For Kids TV - Hindi Rhymes @UCe3GjNY3Kqi8Xd6nT4JN_6w,14.5M,-,India,,4.4M,UCe3GjNY3Kqi8Xd6nT4JN_6w,Fun For Kids TV - Hindi Rhymes,22400000,10895287854,336
76,Gyan Gamingㅤ @UChXi_PlJkRMPYFQBOJ3MpxA,14.4M,-,India,Video Gaming,4.3M,UChXi_PlJkRMPYFQBOJ3MpxA,Gyan Gamingㅤ,19600000,533092724,274
77,Team Films Bhojpuri @UCB4SvelHl4qjFSNYfxhp-SQ,14.4M,-,India,,4.3M,UCB4SvelHl4qjFSNYfxhp-SQ,Team Films Bhojpuri,17200000,7195736761,20473
78,Shorts Break @UCgJ5_1F6yJhYLnyMszUdmUg,14.3M,4.3%,India,,4.3M,UCgJ5_1F6yJhYLnyMszUdmUg,Shorts Break,48800000,43436931381,1057
79,SRK MUSIC @UCAH1Aw-mXgcB3t8uaqW4yTA,14.2M,-,India,,4.3M,UCAH1Aw-mXgcB3t8uaqW4yTA,SRK MUSIC,20000000,8890042405,5672
80,Mazhavil Manorama @UCUPD0jQo-EP0B1Nf4uzeIMA,14M,-,India,,4.2M,UCUPD0jQo-EP0B1Nf4uzeIMA,Mazhavil Manorama,21000000,29129764156,179221
81,DM - Desi Melodies @UC783dnzJqf2ghHp_pFLYbGA,14M,-,India,,4.2M,UC783dnzJqf2ghHp_pFLYbGA,DM - Desi Melodies,21300000,9005944382,1224
82,ZEE5 @UCXOgAl4w-FQero1ERbGHpXQ,13.9M,-,India,,4.2M,UCXOgAl4w-FQero1ERbGHpXQ,Zee 5,20000000,28853371097,257455
83,Sony Music South @UCn4rEMqKtwBQ6-oEwbd4PcA,13.8M,-,India,,4.1M,UCn4rEMqKtwBQ6-oEwbd4PcA,Sony Music South,21700000,22587885204,6270
